G6V2T9,7000
L8J2M2,10000
L6A0K7,4300
G7X4W2,15100
T8L1E9,5500
A1C5L7,4100
V5L3Z9,4400
V8N2A3,9700
V7N3Z8,5500
R0K1W0,26000
K2H8C3,3700
J0C1R0,4200
M5V2M6,3300
T6E0V2,5500
T4P3Z9,4400
T4A1H6,22000
V5R1L9,8600
T1G2C6,11000
V4K3A6,8300
Y1A6V9,7000
H4J2A7,11000
V2K5K6,22000
E2E2T8,9400
K6K1V7,1100
T9J1E2,22000
T2Z3H6,15800
N2P2L5,5500
V6C1A1,8400
V5R3K9,1700
T8W5H5,51000
V9G2C3,15800
T2G4X4,5500
V2P7Y1,10500
V1W4E9,170500
V6E1N5,3000
T2T0R6,11000
P0M1L0,174000
P0H2N0,18400
N2H6R8,2700
M2L2J2,2100
M2K2K1,5000
L7L4J1,600
K8N0C6,3300
M6G3A4,10500
C1C0S4,53500
V3Z0Z6,16600
T9E8L3,13200
J0H1H1,5300
N3Y2J7,10500
J0B1L0,45600
H8N2A4,5500
N0L1G3,53000
T7N1H3,21000
N2M5L1,2700
T2G4G4,11000
L5B3Z1,84000
V8Y2M4,11000
B4E2M5,8800
T6R3L2,11000
T0M1V0,25800
L5A3Y2,2700
J1H3L3,21000
L3X1S2,31500
E5N6K9,7900
N9Y3V3,11000
K1J6G8,11000
N0B2K0,195000
K2H5M1,13200
T5T4C3,4300
T8V2B3,2200
V1X5J4,99000
V1M3K2,7600
L8G5B4,26400
T8H2T3,24700
K1C1C7,16000
N2J3C3,12300
M6N4X4,5000
L7P4H2,27500
V2Y0M9,105600
S0G3C0,30500
R2W3J4,21500
T2E1C9,40000
V0J3A2,131500
M1E1B1,33200
K2J4Y2,7500
V0E1M0,30800
M1W2S9,11000
L2M7Z7,7700
J0N1M0,35300
K0M2R0,2600
T4X2S7,6200
V0B1M0,252300
M4P3H8,18800
L4H3L3,13200
M6S3H1,20200
M6H3G1,8400
T0E1V0,234900
J2M1Y7,7400
V2R0X5,10500
T0L1R0,53600
G1S2J7,15960
M1P4B9,3300
G0R1M0,1100
K2A1G5,15000
R5H1R2,23900
T9N2J2,61700
L4H2B3,2000
K2G6S8,5500
V2R3R3,2500
S4R8J5,7500
T0J1X2,48500
P0J1P0,112300
J4S1N3,14300
L8J2M7,21000
S0K2A0,171650
V0J1P0,272300
T5X1K5,2300
N2E3N1,2700
H2H2H2,2500
K1L6P3,500
V9R6H5,54200
V0N3A1,8300
T3H1M3,22000
B0J2L0,87650
N0J1Y0,91500
V2P5N3,50000
V9G1B8,16800
N2J4K3,10800
T2K5K5,10500
M5M2A7,33200
J9J3L8,5300
N0R1G0,460200
P7C3T4,5500
S7S1H8,31900
R6W0P3,2500
V0G1L1,16000
N0J1P0,478000
L0L1W0,33300
T3A2N5,10500
L2H2W4,34700
S4R7Y2,42500
L4E0E3,11000
J8M1H7,5500
V8S2M5,11000
S4N6Y1,4000
K0K2V0,470700
L1W1E7,23400
J0X2C0,21000
J5A1Z1,10500
T0H3C0,312100
S0K3A0,233700
V5B3Y6,1100
V0C1R0,231400
L2A4N1,22000
N4N3R6,11000
K1W0B7,11000
L0M1G0,32600
L4M1T9,25500
L9W6C6,22000
L1E1Z9,8000
S0E0Y0,41200
J3R3N8,22000
B3R1W3,2100
P0T2K0,26400
N4W3G9,54700
P0H1Z0,149800
T7X3V6,5500
V2X8M8,2100
G6K0B2,15800
L9P1R3,22700
S6H4P9,31900
T8A5Z6,1100
R3X1H6,2200
V6K1E4,31200
T5T5X3,5500
H7T2M2,2500
L1T2W4,5500
L3Z4A6,12500
M1L3M2,2200
T6W2R1,10500
L9G3M6,22000
V3K5K7,15000
L4N5P7,2200
V5V1P9,8300
V7M3M5,8100
K0L1J0,30900
G5M1K6,5200
H8N0C9,22500
L3B5N5,20200
P6A6J8,197000
K9A5K2,11000
L1G1W9,11000
T4J1A8,5500
K4P0C4,16500
S0L2V0,22800
T1J5C2,3300
G1K8K3,2000
T3K4J7,26600
T1J5R5,16100
B3M2P1,11000
P3E2P2,2200
V2K4E9,20000
M5V3N2,13200
L9G3G8,6400
T3C3S6,8600
K6V5T5,30000
L9C6C4,2600
H4R0E9,15600
V0G2J0,175100
P3E5R6,94500
J0B2P0,27100
H7L4L1,1100
T0B3S0,519000
T2N0Y8,82000
J0R1A0,37900
L7N3M5,4400
L1N8C8,11000
T9M2C1,8600
N4N2M3,4200
T2N3K1,11000
K1J7A8,3200
N0A1N7,10200
V2W0H4,34100
L6A0Z2,7900
V4V1B5,10100
T3G5C6,33000
V3A3B9,32000
S0H0B0,112800
G7X4H1,3300
T3Z2S8,15800
T3G3B6,4400
S0K0A1,34300
L6R2Z7,2200
V7Z0L1,10500
V0A1M0,11900
T2W2R8,2200
L2R5T7,3100
L4R4R3,22000
G0S2E0,11600
S3N3C5,11000
V2N2E4,3300
L0G1A0,218800
V9C0P2,15650
T5Y6K9,20500
V2K2E5,15800
L0R1W0,137500
L3Y7H2,7900
N2T2V1,10500
V4T1M1,5300
T0M0W0,332950
K0A3L0,21200
H3T1L8,33100
S9H3V5,25000
V2N6G7,35300
T3M3A4,22000
N0J1S0,6000
M5M2W8,8300
V6V1W2,2200
T2G1H7,29800
T0M0N0,195620
N7A0B9,11000
V6Z0G5,11000
N7G1G5,10500
V4P1R3,5500
L1C5C8,55000
M1C2R7,5000
R1C0A7,21000
B3M0N1,10200
M3J2N2,18600
V1G5A1,23300
P0H1H0,103000
G1X4E5,11000
G0L1W0,6050
S4V3E5,38500
H9G1W3,11000
V3A7L4,38500
K0G1J0,498101
M4W3A3,11000
N5A2K9,3300
R7A7X1,40000
T1G1J8,5000
T1M1N3,5000
T3M2X9,16500
N7S3M2,9900
T9E5E6,8000
V1V1W4,24000
L1H2A4,11000
V2L4A1,7700
L0K1A0,104400
V1N3C6,16500
V8A0R5,5300
J1X0X8,5900
A0A1P0,10400
S0K0M0,5000
T0J0Y9,8200
R5G2N3,10500
L1N1Z5,4400
T8L0R4,3200
